feature_name,channel,feature_family,physical_meaning
rs_absmean,rs,absmean,resultant shear ratio contrast; average shear magnitude in the sensitive phase
rs_corrdist_base,rs,corrdist_base,resultant shear ratio contrast; shape departure from the baseline mean waveform
rs_mean,rs,mean,resultant shear ratio contrast; signed average shear ratio in the sensitive phase
rs_p2p,rs,p2p,resultant shear ratio contrast; peak-to-peak sensitive-phase span
rs_q05,rs,q05,resultant shear ratio contrast; lower-tail sensitive-phase shear ratio
rs_q95,rs,q95,resultant shear ratio contrast; upper-tail sensitive-phase shear ratio
rs_rms,rs,rms,resultant shear ratio contrast; energy-like shear ratio magnitude
rs_std,rs,std,resultant shear ratio contrast; within-phase dispersion
rx_absmean,rx,absmean,Fx/Fz main shear ratio; average shear magnitude in the sensitive phase
rx_corrdist_base,rx,corrdist_base,Fx/Fz main shear ratio; shape departure from the baseline mean waveform
rx_mean,rx,mean,Fx/Fz main shear ratio; signed average shear ratio in the sensitive phase
rx_p2p,rx,p2p,Fx/Fz main shear ratio; peak-to-peak sensitive-phase span
rx_peak_phase,rx,peak_phase,Fx/Fz main shear ratio; phase location of the largest absolute response
rx_peak_width,rx,peak_width,Fx/Fz main shear ratio; fraction of sensitive phase near the peak response
rx_q05,rx,q05,Fx/Fz main shear ratio; lower-tail sensitive-phase shear ratio
rx_q95,rx,q95,Fx/Fz main shear ratio; upper-tail sensitive-phase shear ratio
rx_rms,rx,rms,Fx/Fz main shear ratio; energy-like shear ratio magnitude
rx_std,rx,std,Fx/Fz main shear ratio; within-phase dispersion
ry_absmean,ry,absmean,Fy/Fz lateral shear ratio; average shear magnitude in the sensitive phase
ry_corrdist_base,ry,corrdist_base,Fy/Fz lateral shear ratio; shape departure from the baseline mean waveform
ry_mean,ry,mean,Fy/Fz lateral shear ratio; signed average shear ratio in the sensitive phase
ry_p2p,ry,p2p,Fy/Fz lateral shear ratio; peak-to-peak sensitive-phase span
ry_peak_phase,ry,peak_phase,Fy/Fz lateral shear ratio; phase location of the largest absolute response
ry_peak_width,ry,peak_width,Fy/Fz lateral shear ratio; fraction of sensitive phase near the peak response
ry_q05,ry,q05,Fy/Fz lateral shear ratio; lower-tail sensitive-phase shear ratio
ry_q95,ry,q95,Fy/Fz lateral shear ratio; upper-tail sensitive-phase shear ratio
ry_rms,ry,rms,Fy/Fz lateral shear ratio; energy-like shear ratio magnitude
ry_std,ry,std,Fy/Fz lateral shear ratio; within-phase dispersion
