protocol_id,target_dataset,output_name,horizon_cycles,prediction_origin_cycle,ensemble_state,ensemble_alpha,reset_episode_id,reset_episode_count,freeze_start_cycle,freeze_until_cycle
A_Exp1_to_Exp2,Exp2,D_state,100,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,500,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,1000,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,100,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,500,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,1000,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,100,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,500,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,1000,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,100,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,500,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,1000,10.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,100,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,500,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,1000,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,100,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,500,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,1000,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,100,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,500,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,1000,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,100,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,500,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,1000,60.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,100,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,500,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,D_state,1000,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,100,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,500,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,V50_norm,1000,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,100,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,500,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,instability_score,1000,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,100,110.5,PROBATION,0.0,0,0,,-inf
A_Exp1_to_Exp2,Exp2,S_severe_candidate,500,110.5,PROBATION,0.0,0,0,,-inf
