window_index,event,candidate_id,new_stage,source_predicted_stage,reason,direction_id,ablation
539,CANDIDATE_ACTIVE,1,,,,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
578,STATE_DISCOVERED,1,3.0,3.0,,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
778,CANDIDATE_ACTIVE,2,,,,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
798,CANDIDATE_REJECTED,2,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
810,CANDIDATE_ACTIVE,3,,,,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
849,STATE_DISCOVERED,3,4.0,2.0,,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1975,CANDIDATE_ACTIVE,4,,,,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1979,CANDIDATE_REJECTED,4,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
2610,CANDIDATE_ACTIVE,5,,,,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
2637,CANDIDATE_REJECTED,5,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
539,CANDIDATE_ACTIVE,1,,,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
578,STATE_DISCOVERED,1,3.0,3.0,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
778,CANDIDATE_ACTIVE,2,,,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
798,CANDIDATE_REJECTED,2,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
810,CANDIDATE_ACTIVE,3,,,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
849,STATE_DISCOVERED,3,4.0,2.0,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
1974,CANDIDATE_ACTIVE,4,,,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
1979,CANDIDATE_REJECTED,4,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
2043,CANDIDATE_ACTIVE,5,,,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
2044,CANDIDATE_REJECTED,5,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
2610,CANDIDATE_ACTIVE,6,,,,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
2638,CANDIDATE_REJECTED,6,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
539,CANDIDATE_ACTIVE,1,,,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
578,STATE_DISCOVERED,1,3.0,3.0,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
778,CANDIDATE_ACTIVE,2,,,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
798,CANDIDATE_REJECTED,2,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
810,CANDIDATE_ACTIVE,3,,,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
849,STATE_DISCOVERED,3,4.0,2.0,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
1975,CANDIDATE_ACTIVE,4,,,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
1979,CANDIDATE_REJECTED,4,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
2043,CANDIDATE_ACTIVE,5,,,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
2043,CANDIDATE_REJECTED,5,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
2610,CANDIDATE_ACTIVE,6,,,,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
2638,CANDIDATE_REJECTED,6,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
539,CANDIDATE_ACTIVE,1,,,,Exp1_to_Exp2,A6_ANCHOR_FUSION
578,STATE_DISCOVERED,1,3.0,3.0,,Exp1_to_Exp2,A6_ANCHOR_FUSION
778,CANDIDATE_ACTIVE,2,,,,Exp1_to_Exp2,A6_ANCHOR_FUSION
798,CANDIDATE_REJECTED,2,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A6_ANCHOR_FUSION
810,CANDIDATE_ACTIVE,3,,,,Exp1_to_Exp2,A6_ANCHOR_FUSION
849,STATE_DISCOVERED,3,4.0,2.0,,Exp1_to_Exp2,A6_ANCHOR_FUSION
1975,CANDIDATE_ACTIVE,4,,,,Exp1_to_Exp2,A6_ANCHOR_FUSION
1979,CANDIDATE_REJECTED,4,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A6_ANCHOR_FUSION
2043,CANDIDATE_ACTIVE,5,,,,Exp1_to_Exp2,A6_ANCHOR_FUSION
2043,CANDIDATE_REJECTED,5,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A6_ANCHOR_FUSION
2610,CANDIDATE_ACTIVE,6,,,,Exp1_to_Exp2,A6_ANCHOR_FUSION
2638,CANDIDATE_REJECTED,6,,,GAP_TOLERANCE_EXCEEDED,Exp1_to_Exp2,A6_ANCHOR_FUSION
210,CANDIDATE_ACTIVE,1,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
249,STATE_DISCOVERED,1,5.0,1.0,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
379,CANDIDATE_ACTIVE,2,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
388,CANDIDATE_REJECTED,2,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
419,CANDIDATE_ACTIVE,3,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
420,CANDIDATE_REJECTED,3,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
428,CANDIDATE_ACTIVE,4,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
447,CANDIDATE_REJECTED,4,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
454,CANDIDATE_ACTIVE,5,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
455,CANDIDATE_REJECTED,5,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
462,CANDIDATE_ACTIVE,6,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
466,CANDIDATE_REJECTED,6,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
481,CANDIDATE_ACTIVE,7,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
497,CANDIDATE_REJECTED,7,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
522,CANDIDATE_ACTIVE,8,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
526,CANDIDATE_REJECTED,8,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
544,CANDIDATE_ACTIVE,9,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
544,CANDIDATE_REJECTED,9,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
558,CANDIDATE_ACTIVE,10,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
558,CANDIDATE_REJECTED,10,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
565,CANDIDATE_ACTIVE,11,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
