protocol_id,target_dataset,baseline_cycles,distance_form,removed_feature_group,feature_count,common_monitoring_start_cycle,evidence_type,trajectory_spearman,reference_event_count_common,ablation_event_count_common,matched_event_count,event_collection_jaccard,ablation_events_near_8000,trajectory_stable,event_collection_stable,stability_status
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,9,1000.0,low_activity_evidence,0.9873069221327353,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,9,1000.0,directed_change_evidence,0.9873069221327353,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,9,1000.0,acceleration_evidence,0.9873069221327353,5,15,4,0.25,7895.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,9,1000.0,abrupt_change_evidence,0.9873069221327353,10,8,4,0.2857142857142857,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,5,1000.0,low_activity_evidence,0.9625565341554103,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,5,1000.0,directed_change_evidence,0.9625565341554103,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,5,1000.0,acceleration_evidence,0.9625565341554103,5,15,4,0.25,7895.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,5,1000.0,abrupt_change_evidence,0.9625565341554103,10,8,4,0.2857142857142857,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,8,1000.0,low_activity_evidence,0.9642050251896395,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,8,1000.0,directed_change_evidence,0.9642050251896395,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,8,1000.0,acceleration_evidence,0.9642050251896395,5,14,4,0.26666666666666666,7895.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,8,1000.0,abrupt_change_evidence,0.9642050251896395,10,7,3,0.21428571428571427,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,1000.0,low_activity_evidence,0.9523290024203973,2,0,0,0.0,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,1000.0,directed_change_evidence,0.9523290024203973,2,0,0,0.0,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,1000.0,acceleration_evidence,0.9523290024203973,5,14,5,0.35714285714285715,7895.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,1000.0,abrupt_change_evidence,0.9523290024203973,10,9,5,0.35714285714285715,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,none,9,1000.0,low_activity_evidence,0.917501759799753,2,1,0,0.0,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,none,9,1000.0,directed_change_evidence,0.917501759799753,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,none,9,1000.0,acceleration_evidence,0.917501759799753,5,12,5,0.4166666666666667,7895.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,none,9,1000.0,abrupt_change_evidence,0.917501759799753,10,8,7,0.6363636363636364,7900.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,5,1000.0,low_activity_evidence,0.8308631297261516,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,5,1000.0,directed_change_evidence,0.8308631297261516,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,5,1000.0,acceleration_evidence,0.8308631297261516,5,15,5,0.3333333333333333,7895.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,5,1000.0,abrupt_change_evidence,0.8308631297261516,10,9,8,0.7272727272727273,7900.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,8,1000.0,low_activity_evidence,0.8777799511321726,2,0,0,0.0,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,8,1000.0,directed_change_evidence,0.8777799511321726,2,1,1,0.5,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,8,1000.0,acceleration_evidence,0.8777799511321726,5,5,2,0.25,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,8,1000.0,abrupt_change_evidence,0.8777799511321726,10,10,6,0.42857142857142855,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,1000.0,low_activity_evidence,0.85243583050932,2,0,0,0.0,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,1000.0,directed_change_evidence,0.85243583050932,2,0,0,0.0,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,1000.0,acceleration_evidence,0.85243583050932,5,12,5,0.4166666666666667,7895.5,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,1000.0,abrupt_change_evidence,0.85243583050932,10,9,5,0.35714285714285715,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,9,1000.0,low_activity_evidence,1.0,2,2,2,1.0,,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,9,1000.0,directed_change_evidence,1.0,2,2,2,1.0,,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,9,1000.0,acceleration_evidence,1.0,5,5,5,1.0,,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,9,1000.0,abrupt_change_evidence,1.0,10,10,10,1.0,7900.5,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rx,5,1000.0,low_activity_evidence,0.9522811316838955,2,3,0,0.0,,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rx,5,1000.0,directed_change_evidence,0.9522811316838955,2,2,2,1.0,,True,True,PASS
