protocol_id,target_dataset,event,evidence_type,cycle,run_cycles
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,205.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,320.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,770.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,920.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,1460.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,1815.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,2235.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,2415.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,2675.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,2715.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,2790.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,2820.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,2850.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,3130.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,3775.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,3815.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,4190.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,4215.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,4630.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,4815.5,0.0
