protocol_id,target_dataset,baseline_cycles,distance_form,removed_feature_group,feature_count,evidence_type,trajectory_spearman,reference_first_onset_cycle,ablation_first_onset_cycle,event_position_delta_cycles,event_presence_matches,trajectory_stable,event_position_stable,stability_status
A_Exp1_to_Exp2,Exp2,250,mahalanobis,none,10,low_activity_evidence,0.38576012051706793,205.5,2965.5,2760.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,none,10,directed_change_evidence,0.38576012051706793,,,,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,none,10,acceleration_evidence,0.38576012051706793,3775.5,1205.5,-2570.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,none,10,abrupt_change_evidence,0.38576012051706793,2790.5,390.5,-2400.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rx,6,low_activity_evidence,0.8565241862240794,205.5,2350.5,2145.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rx,6,directed_change_evidence,0.8565241862240794,,9985.5,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rx,6,acceleration_evidence,0.8565241862240794,3775.5,845.5,-2930.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rx,6,abrupt_change_evidence,0.8565241862240794,2790.5,380.5,-2410.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,ry,9,low_activity_evidence,0.0713219474257881,205.5,2935.5,2730.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,ry,9,directed_change_evidence,0.0713219474257881,,,,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,ry,9,acceleration_evidence,0.0713219474257881,3775.5,1205.5,-2570.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,ry,9,abrupt_change_evidence,0.0713219474257881,2790.5,390.5,-2400.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rs,5,low_activity_evidence,0.8697810195731477,205.5,1655.5,1450.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rs,5,directed_change_evidence,0.8697810195731477,,13185.5,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rs,5,acceleration_evidence,0.8697810195731477,3775.5,1215.5,-2560.0,True,True,False,FAIL
